customer_id,age,income_band,customer_segment,occupation,city,kyc_risk_rating
1,,,SME,"Development worker, community",Homa Bay,High
2,,,SME,"Designer, graphic",Narok,Medium
3,,High,Affluent,Interior and spatial designer,Garissa,Low
4,,Low,SME,"Accountant, chartered public finance",Isiolo,High
5,38,, ,"Programmer, applications",Siaya,
6,,, ,Translator,,
7,,Medium,Mass,Adult nurse,Kitale,Low
8,,High,SME,Chief Technology Officer,Embu,Low
9,,Low,Affluent,Ergonomist,Kisumu,
10,,Medium,Affluent,Acupuncturist,Nakuru,Low
11,,Medium, ,Dramatherapist,Thika,Low
12,,,SME,Forensic scientist,Homa Bay,Low
13,,,Affluent,Aeronautical engineer,Kwale,Medium
14,,Low,SME,Chartered legal executive (England and Wales),Kericho,
15,,Low,SME,"Surveyor, planning and development",Kitale,Low
16,,Low,Mass,Politician's assistant,Siaya,Low
17,39,Medium,Affluent,Fast food restaurant manager,Kitale,Medium
18,,,Mass,"Geologist, engineering",Mombasa,
19,,High,Affluent,"Conservator, museum/gallery",Kajiado,High
20,66,Medium,SME,Architectural technologist,Kericho,
21,76,High,Affluent,Dance movement psychotherapist,Kisumu,
22,,, ,Oceanographer,Kericho,
23,,,SME,Phytotherapist,Kilifi,Medium
24,,Low,Affluent,Counselling psychologist,Mombasa,
25,,High,Mass,,Narok,High
26,68,Medium,Mass,"Therapist, occupational",Meru,Low
27,72,High,SME,Oceanographer,Migori,
28,,,Mass,Barrister's clerk, ,Medium
29,,Low,SME,Television floor manager,Nairobi,
30,,High,SME,Music tutor,Bomet,
31,38,,SME,"Secretary, company",Kericho,High
32,,Medium,Affluent,"Development worker, community",Mombasa,High
33,,,SME,Personnel officer,Garissa,Medium
34,31,Medium,Mass,Chartered legal executive (England and Wales),Narok,Medium
35,,Low, ,Museum/gallery curator,Kilifi,Medium
36,70,Medium,Affluent,Exercise physiologist, ,Medium
37,,Medium,Mass,Financial adviser,Kilifi,Medium
38,52,Medium,SME,Hydrogeologist,Homa Bay,Low
39,,Medium,SME,Herbalist,Kakamega,Low
40,,Low, ,"Therapist, horticultural",Garissa,Medium
41,67,,Mass,"Doctor, hospital",Thika,Medium
42,19,High,Affluent,Media buyer,Embu,Low
43,71,,Mass,"Journalist, magazine",Bomet,High
44,,High,SME,"Engineer, communications",Thika,Low
45,,High,Affluent,Firefighter,Narok,Medium
46,,,SME,Water engineer,Eldoret,High
47,,Low,SME,Pensions consultant, ,Medium
48,61,,Mass,Network engineer,Kakamega,
49,,Low, ,Environmental consultant,Nakuru,High
50,,High,SME,Information officer,Busia,Medium
51,,Low,Mass,Operational researcher,Busia,Low
52,,,Affluent,"Therapist, music",Kwale,Medium
53,,, ,Insurance broker,Meru,Low
54,,,SME,"Programmer, applications",Meru,High
55,,High,SME,Dramatherapist,Malindi,Low
56,,,Affluent,Airline pilot,Machakos,High
57,70,High,Mass,Professor Emeritus,Garissa,Medium
58,,,SME,"Biochemist, clinical",Meru,Low
59,,High,Affluent,Educational psychologist,Eldoret,High
60,,,SME,"Engineer, building services",Nakuru,High
61,58,,Mass,"Teacher, primary school",Busia,High
62,,High, ,Chief Strategy Officer,Migori,
63,32,,Mass,"Horticulturist, amenity",Isiolo,High
64,,,Mass,"Programmer, multimedia",Meru,Medium
65,26,High,Mass,Land/geomatics surveyor,Bungoma,Medium
66,,,Affluent,IT sales professional,Bomet,Medium
67,,,SME,International aid/development worker,Kisumu,High
68,,, ,Furniture conservator/restorer,Siaya,Medium
69,,,Affluent,Stage manager,Meru,High
70,,,Mass,Customer service manager,Meru,High
71,,High, ,Ranger/warden,Kwale,High
72,,,Mass,Music therapist,Kajiado,
73,,,Mass,Contracting civil engineer,Bungoma,Low
