customer_id,age,income_band,customer_segment,occupation,city,kyc_risk_rating,transaction_date,amount,category,channel,balance_after,premium_amount,start_date,end_date,status,transaction_date_year,transaction_date_month,transaction_date_day,transaction_date_weekday,start_date_year,start_date_month,start_date_day,start_date_weekday,end_date_year,end_date_month,end_date_day,end_date_weekday,product_type
1,47.0,High,SME,"Development Worker, Community",Homa Bay,High,2025-02-22 00:00:00.000000000,230875.0,Groceries,App,406233.0,7611.0,2022-05-02 00:00:00.000000000,2027-12-12 00:00:00.000000000,Pending,2025,2,22,5,2022,5,2,0,2027,12,12,6,Education
1,47.0,Medium,SME,"Development Worker, Community",Homa Bay,High,2025-02-16 00:00:00.000000000,148121.0,Bills,Ussd,406233.0,7611.0,2022-05-02 00:00:00.000000000,2027-12-12 00:00:00.000000000,Pending,2025,2,16,6,2022,5,2,0,2027,12,12,6,Education
2,47.0,Low,SME,"Designer, Graphic",Narok,Medium,2025-03-15 05:39:05.628589568,148121.0,Personal,App,406233.0,3544.0,2024-06-21 00:00:00.000000000,2027-04-23 00:00:00.000000000,Lapsed,2025,3,15,5,2024,6,21,4,2027,4,23,4,Education
2,47.0,High,SME,"Designer, Graphic",Narok,Medium,2025-03-15 05:39:05.628589568,148121.0,Personal,App,406233.0,7611.0,2024-04-02 00:00:00.000000000,2027-10-23 00:00:00.000000000,Active,2025,3,15,5,2024,4,2,1,2027,10,23,5,Education
2,47.0,Low,SME,"Designer, Graphic",Narok,Medium,2025-03-15 05:39:05.628589568,148121.0,Personal,App,406233.0,7611.0,2024-12-18 00:00:00.000000000,2026-10-04 00:00:00.000000000,Active,2025,3,15,5,2024,12,18,2,2026,10,4,6,Education
2,47.0,High,SME,"Designer, Graphic",Narok,Medium,2025-03-15 05:39:05.628589568,148121.0,Personal,App,406233.0,5977.0,2024-06-04 00:00:00.000000000,2028-10-14 00:00:00.000000000,Pending,2025,3,15,5,2024,6,4,1,2028,10,14,5,Education
3,47.0,High,Platinum,Interior And Spatial Designer,Garissa,Low,2025-03-15 05:39:05.628589568,148121.0,Personal,App,406233.0,7611.0,2023-09-15 15:49:17.609391872,2027-09-19 06:09:16.677316352,Active,2025,3,15,5,2023,9,15,4,2027,9,19,6,Education
4,47.0,Low,SME,"Accountant, Chartered Public Finance",Isiolo,High,2025-02-13 00:00:00.000000000,189572.0,School Fees,Ussd,204931.0,7611.0,2023-08-28 00:00:00.000000000,2029-01-20 00:00:00.000000000,Pending,2025,2,13,3,2023,8,28,0,2029,1,20,5,Education
4,47.0,Low,SME,"Accountant, Chartered Public Finance",Isiolo,High,2025-02-13 00:00:00.000000000,189572.0,School Fees,Ussd,204931.0,13233.0,2025-03-17 00:00:00.000000000,2027-07-07 00:00:00.000000000,Active,2025,2,13,3,2025,3,17,0,2027,7,7,2,Education
4,47.0,Low,SME,"Accountant, Chartered Public Finance",Isiolo,High,2025-05-24 00:00:00.000000000,148121.0,School Fees,App,26197.0,7611.0,2023-08-28 00:00:00.000000000,2029-01-20 00:00:00.000000000,Pending,2025,5,24,5,2023,8,28,0,2029,1,20,5,Education
4,47.0,Low,SME,"Accountant, Chartered Public Finance",Isiolo,High,2025-05-24 00:00:00.000000000,148121.0,School Fees,App,26197.0,13233.0,2025-03-17 00:00:00.000000000,2027-07-07 00:00:00.000000000,Active,2025,5,24,5,2025,3,17,0,2027,7,7,2,Education
