customer_id,age,income_band,customer_segment,occupation,city,kyc_risk_rating,transaction_id,transaction_date,amount,category,channel,balance_after,policy_id,product_type,premium_amount,start_date,end_date,status
1,,,SME,"Development worker, community",Homa Bay,High,105008.0,2025-02-22,230875.0,Groceries,App,,500750.0,Education,,2022-05-02,2027-12-12,Pending
1,,,SME,"Development worker, community",Homa Bay,High,105228.0,2025-02-16,,Bills,USSD,,500750.0,Education,,2022-05-02,2027-12-12,Pending
2,,,SME,"Designer, graphic",Narok,Medium,,,,,,,501753.0,Education,3544.0,2024-06-21,2027-04-23,Lapsed
2,,,SME,"Designer, graphic",Narok,Medium,,,,,,,502251.0,Education,,2024-04-02,2027-10-23,Active
2,,,SME,"Designer, graphic",Narok,Medium,,,,,,,503267.0,Education,,2024-12-18,2026-10-04,
2,,,SME,"Designer, graphic",Narok,Medium,,,,,,,506997.0,Education,5977.0,2024-06-04,2028-10-14,Pending
3,,High,Affluent,Interior and spatial designer,Garissa,Low,,,,,,,,Education,,,,
4,,Low,SME,"Accountant, chartered public finance",Isiolo,High,103850.0,2025-02-13,189572.0,School Fees,USSD,204931.0,501828.0,Education,,2023-08-28,2029-01-20,Pending
4,,Low,SME,"Accountant, chartered public finance",Isiolo,High,103850.0,2025-02-13,189572.0,School Fees,USSD,204931.0,506719.0,Education,13233.0,2025-03-17,2027-07-07,
4,,Low,SME,"Accountant, chartered public finance",Isiolo,High,106127.0,2025-05-24,,School Fees,,26197.0,501828.0,Education,,2023-08-28,2029-01-20,Pending
4,,Low,SME,"Accountant, chartered public finance",Isiolo,High,106127.0,2025-05-24,,School Fees,,26197.0,506719.0,Education,13233.0,2025-03-17,2027-07-07,
5,38.0,, ,"Programmer, applications",Siaya,,,,,,,,501266.0,Education,1371.0,2022-07-07,2026-06-19,
5,38.0,, ,"Programmer, applications",Siaya,,,,,,,,506979.0,Education,,2022-07-24,2029-03-15,
6,,, ,Translator,,,106624.0,2025-12-07,,Bills,Internet Banking,196032.0,502108.0,Education,1593.0,2022-08-06,2027-06-13,
6,,, ,Translator,,,106624.0,2025-12-07,,Bills,Internet Banking,196032.0,504692.0,Education,,2023-09-16,2027-10-27,
6,,, ,Translator,,,106624.0,2025-12-07,,Bills,Internet Banking,196032.0,506320.0,Education,271.0,2024-03-09,2027-09-10,Lapsed
7,,Medium,Mass,Adult nurse,Kitale,Low,,,,,,,,Education,,,,
8,,High,SME,Chief Technology Officer,Embu,Low,103288.0,2025-01-10,206461.0,Travel,Internet Banking,,,Education,,,,
9,,Low,Affluent,Ergonomist,Kisumu,,105423.0,2025-04-11,,School Fees,USSD,614481.0,506937.0,Education,,2023-06-02,2028-05-21,Pending
10,,Medium,Affluent,Acupuncturist,Nakuru,Low,100734.0,2024-10-05,252258.0,Electronics,App,500031.0,,Education,,,,
10,,Medium,Affluent,Acupuncturist,Nakuru,Low,101761.0,2025-12-09,133095.0,,App,,,Education,,,,
11,,Medium, ,Dramatherapist,Thika,Low,101398.0,2025-05-27,,Electronics,App,,505601.0,Education,,2025-02-20,2026-09-23,Pending
12,,,SME,Forensic scientist,Homa Bay,Low,102288.0,2025-04-07,,,USSD,,501496.0,Education,,2023-03-10,2028-01-27,
12,,,SME,Forensic scientist,Homa Bay,Low,103174.0,2025-04-16,,,,656655.0,501496.0,Education,,2023-03-10,2028-01-27,
13,,,Affluent,Aeronautical engineer,Kwale,Medium,,,,,,,500807.0,Education,,2022-11-19,2027-10-09,Active
13,,,Affluent,Aeronautical engineer,Kwale,Medium,,,,,,,503420.0,Education,,2023-12-12,2027-04-28,
