customer_id,age,income_band,customer_segment,occupation,city,kyc_risk_rating,amount,category,channel,premium_amount,product_type
1,56,Medium,Mass,Counselling psychologist,Thika,Medium,168894,Bills,USSD,9906,Gadget
2,69,Low,SME,"Pharmacist, community",Nakuru,Low,276413,Travel,USSD,9264,Motor
3,46,Medium,SME,Diplomatic Services operational officer,Thika,Medium,227617,Electronics,USSD,2549,Travel
4,32,Low,Affluent,Tax adviser,Meru,High,295843,Travel,Branch,13152,Education
5,60,High,Affluent,"Clinical scientist, histocompatibility and immunogenetics",Naivasha,High,149467,Groceries,Branch,1438,Medical
6,25,Low,Affluent,"Doctor, hospital",Mombasa,Low,79655,Travel,USSD,11889,Education
7,38,Low,Mass,Chartered public finance accountant,Thika,Medium,159106,Groceries,Branch,7910,Life
8,56,Medium,Affluent,Market researcher,Meru,Medium,124006,Bills,App,4924,Motor
9,36,Low,Mass,Dealer,Machakos,Low,8803,Groceries,USSD,5323,Medical
10,40,Low,Affluent,Dentist,Nairobi,Low,54516,Bills,Internet Banking,7285,Education
11,28,Medium,Affluent,Structural engineer,Eldoret,Low,148054,Electronics,USSD,14072,Medical
12,28,Low,Affluent,Primary school teacher,Thika,High,174085,Travel,App,6609,Education
13,41,Medium,Affluent,"Scientist, audiological",Meru,High,79875,Electronics,Internet Banking,9191,Motor
14,70,High,Mass,Counsellor,Nakuru,Low,171018,Electronics,App,12787,Life
15,53,Low,Mass,"Engineer, water",Nairobi,Medium,173903,School Fees,Branch,5504,Gadget
16,57,High,Mass,Solicitor,Thika,Low,259168,Travel,App,8786,Travel
17,41,Low,Affluent,Insurance claims handler,Meru,Low,65561,School Fees,App,3392,Medical
18,20,Low,Affluent,Dramatherapist,Thika,Low,281036,Groceries,USSD,6049,Life
19,39,High,Affluent,"Pharmacist, community",Naivasha,Low,298510,Bills,USSD,12457,Life
20,70,High,Mass,Research scientist (medical),Nyeri,High,153125,Groceries,App,14129,Travel
21,19,Medium,SME,"Surveyor, planning and development",Nakuru,High,50283,School Fees,Internet Banking,14382,Medical
22,41,Medium,SME,Personal assistant,Mombasa,Medium,76616,Groceries,Branch,9448,Medical
23,61,High,SME,Fisheries officer,Kisumu,High,291710,Bills,App,5954,Travel
24,47,Low,Mass,Merchant navy officer,Nairobi,Low,56768,Bills,Internet Banking,11222,Education
25,55,Medium,SME,Museum/gallery exhibitions officer,Mombasa,Low,59052,Groceries,Branch,2240,Life
26,19,Low,Mass,Hydrologist,Naivasha,Low,190693,Travel,App,3373,Medical
27,38,Medium,Mass,"Engineer, aeronautical",Meru,Medium,14841,Electronics,Branch,5672,Education
28,50,Medium,Affluent,"Designer, ceramics/pottery",Meru,High,289332,Bills,App,8095,Education
29,29,Medium,Affluent,Training and development officer,Meru,Low,50781,Travel,Branch,9206,Motor
30,39,High,Mass,Rural practice surveyor,Nairobi,Low,298534,Groceries,Internet Banking,8273,Motor
31,61,Low,SME,Arts administrator,Naivasha,Low,290052,Electronics,USSD,7477,Gadget
32,42,High,Mass,Hydrogeologist,Naivasha,Medium,157737,Bills,Branch,7995,Education
33,66,Medium,Mass,Careers information officer,Meru,High,174093,Electronics,App,1902,Medical
34,44,High,SME,"Psychologist, prison and probation services",Meru,Medium,126859,Travel,Branch,7354,Education
35,59,High,Affluent,"Production designer, theatre/television/film",Nairobi,High,231343,Travel,Internet Banking,9412,Travel
36,45,High,Mass,"Engineer, communications",Nyeri,Low,83316,Travel,App,9761,Travel
37,33,Low,Affluent,"Production assistant, radio",Eldoret,Medium,83022,School Fees,Internet Banking,6163,Medical
38,32,High,Affluent,Theatre stage manager,Mombasa,Medium,245971,Bills,Branch,13944,Medical
39,64,High,Affluent,Housing manager/officer,Thika,Medium,100820,Groceries,Branch,14868,Education
40,68,High,Mass,Hydrogeologist,Mombasa,High,22780,Groceries,USSD,511,Education
41,61,High,SME,Horticultural therapist,Thika,Medium,187331,Bills,App,9459,Gadget
42,72,High,SME,"Teacher, secondary school",Naivasha,Medium,70595,Travel,USSD,10503,Life
43,69,High,Affluent,"Merchandiser, retail",Thika,Low,289217,Travel,Branch,8917,Gadget
44,74,High,Affluent,"Civil engineer, consulting",Nairobi,Medium,6895,School Fees,USSD,9671,Travel
45,20,Medium,SME,"Education officer, museum",Nakuru,Low,9945,Travel,USSD,8894,Education
46,54,High,Affluent,"Engineer, agricultural",Kisumu,Low,228755,Electronics,Internet Banking,13744,Motor
47,68,High,SME,"Engineer, civil (consulting)",Eldoret,Medium,34905,School Fees,Internet Banking,13225,Medical
48,24,Low,SME,Insurance broker,Naivasha,Low,841,Travel,USSD,8299,Education
49,38,Medium,Mass,Claims inspector/assessor,Kisumu,High,151249,Bills,App,7159,Motor
50,26,High,Affluent,"Engineer, mining",Nairobi,High,96248,Groceries,USSD,1426,Gadget
51,56,Low,Affluent,Charity officer,Meru,High,289425,Groceries,Internet Banking,2683,Travel
52,35,High,Mass,Primary school teacher,Thika,Low,7326,Travel,Branch,7390,Medical
53,21,High,SME,Financial risk analyst,Thika,High,136240,Travel,Branch,12936,Gadget
54,42,High,Affluent,Chief Financial Officer,Nakuru,High,16944,Groceries,Branch,8044,Motor
55,31,High,Mass,Writer,Nairobi,Low,110024,School Fees,Internet Banking,12015,Education
56,67,High,SME,"Scientist, forensic",Meru,Medium,55286,Groceries,Internet Banking,5990,Life
57,26,Low,Mass,Licensed conveyancer,Nyeri,Low,222186,Electronics,Branch,12843,Education
58,43,High,Mass,Press sub,Naivasha,Low,226990,School Fees,Branch,3026,Motor
59,70,Low,Mass,"Pharmacist, community",Nyeri,Medium,218136,Groceries,App,13648,Travel
60,19,High,Mass,Broadcast engineer,Naivasha,High,141722,Bills,USSD,3828,Medical
61,37,Low,SME,Video editor,Naivasha,High,22738,School Fees,Internet Banking,6421,Education
62,45,Medium,Mass,"Exhibitions officer, museum/gallery",Naivasha,Low,21024,Travel,Internet Banking,2374,Gadget
63,64,High,SME,Advertising copywriter,Machakos,High,257915,Bills,App,14622,Gadget
64,24,Medium,Mass,Financial planner,Machakos,Low,1713,School Fees,Branch,1348,Motor
65,61,Medium,Mass,Radio broadcast assistant,Kisumu,Low,146077,School Fees,App,12340,Life
66,25,Medium,Affluent,"Psychologist, prison and probation services",Machakos,High,101357,School Fees,USSD,10049,Gadget
67,64,High,Affluent,Control and instrumentation engineer,Nakuru,Low,128413,School Fees,USSD,13772,Motor
68,52,Medium,Affluent,Psychiatric nurse,Naivasha,High,290785,Travel,Branch,11254,Life
69,31,Low,Affluent,"Lecturer, further education",Eldoret,Medium,39815,Electronics,Branch,2665,Life
70,34,High,Mass,Patent examiner,Nakuru,Low,6436,Travel,Branch,1323,Education
71,53,Medium,Mass,"Engineer, automotive",Nakuru,High,225977,Bills,USSD,2381,Life
72,67,High,SME,"Pharmacist, hospital",Thika,Medium,22317,Electronics,Branch,7781,Travel
73,57,Medium,Mass,Multimedia specialist,Mombasa,Low,246749,Bills,USSD,13190,Motor
74,21,Low,SME,"Exhibitions officer, museum/gallery",Eldoret,Medium,110593,Electronics,USSD,6381,Education
75,19,High,Mass,Homeopath,Machakos,Low,161871,Electronics,Branch,10035,Education
76,23,High,Mass,Community education officer,Mombasa,High,204484,Electronics,Internet Banking,4370,Travel
77,71,Medium,SME,Paediatric nurse,Eldoret,Medium,65460,School Fees,USSD,1400,Life
78,59,Low,Affluent,"Physicist, medical",Naivasha,Medium,164972,Groceries,USSD,7956,Medical
79,21,High,Mass,Land/geomatics surveyor,Eldoret,Medium,243808,Electronics,App,2182,Motor
80,71,Medium,Affluent,Company secretary,Nyeri,High,244498,School Fees,Branch,13874,Life
81,46,Low,SME,Sales executive,Meru,Low,19021,School Fees,App,14644,Gadget
82,35,Low,Mass,Risk analyst,Meru,High,23355,Electronics,Branch,2563,Life
83,43,Low,SME,"Scientist, audiological",Machakos,Medium,159576,Groceries,Branch,6577,Motor
84,61,Low,Mass,Location manager,Meru,Medium,23981,School Fees,App,6293,Education
85,51,High,SME,Paediatric nurse,Mombasa,Medium,59111,Groceries,Internet Banking,3652,Gadget
86,27,High,SME,Fast food restaurant manager,Kisumu,High,106802,Bills,Branch,12400,Medical
87,53,Low,Affluent,Local government officer,Nakuru,Medium,194738,Electronics,USSD,2801,Travel
88,31,Medium,Affluent,Advertising art director,Eldoret,Low,287106,Groceries,App,11887,Medical
89,48,Medium,Affluent,Clinical psychologist,Nyeri,Low,116237,Bills,USSD,4760,Education
90,65,Low,Mass,Merchant navy officer,Mombasa,High,97825,Electronics,Branch,14268,Travel
91,32,Low,SME,Pension scheme manager,Nyeri,Low,237423,School Fees,App,5641,Motor
92,25,Medium,Affluent,Lobbyist,Nakuru,High,153926,Electronics,App,9450,Motor
93,31,Low,Mass,Dancer,Nakuru,High,154487,Bills,Branch,9667,Medical
94,40,Low,Affluent,Forensic scientist,Eldoret,Medium,66516,Travel,Internet Banking,13093,Gadget
95,74,High,Mass,Make,Thika,High,17914,Travel,Branch,11356,Travel
96,57,High,SME,Advertising copywriter,Nairobi,Medium,289190,Electronics,USSD,5002,Gadget
97,38,Low,SME,"Engineer, automotive",Thika,Low,138986,School Fees,App,3036,Education
98,33,Low,SME,Primary school teacher,Meru,Low,295206,Travel,App,12196,Travel
