customer_id,age,income_band,customer_segment,occupation,city,kyc_risk_rating,amount,category,channel,premium_amount,product_type
1,56,High,SME,Artist,Kisumu,High,64878,Groceries,Branch,11058,Medical
2,69,High,SME,Conference centre manager,Mombasa,High,86117,School Fees,USSD,11046,Education
3,46,Low,SME,Chief Strategy Officer,Nyeri,Low,270564,Travel,App,663,Travel
4,32,Medium,Affluent,Naval architect,Naivasha,Low,26054,Travel,Internet Banking,10351,Travel
5,60,High,SME,"Surveyor, insurance",Nakuru,Low,270306,Electronics,App,5101,Gadget
6,25,Low,Affluent,Water quality scientist,Kisumu,Low,166009,School Fees,Branch,5621,Education
7,78,Low,Affluent,"Research officer, government",Mombasa,High,124315,Groceries,App,8909,Medical
8,38,High,Affluent,Probation officer,Nyeri,Low,20665,Travel,Internet Banking,731,Travel
9,56,Medium,Affluent,Health service manager,Nyeri,Low,200961,School Fees,Branch,13732,Education
10,75,Low,SME,Cabin crew,Nakuru,Low,213025,School Fees,USSD,5039,Education
11,36,High,SME,"Psychotherapist, child",Meru,Medium,189756,Travel,Internet Banking,13130,Travel
12,40,Low,Mass,"Scientist, physiological",Nyeri,High,116678,Bills,Branch,6045,Motor
13,28,Medium,SME,Further education lecturer,Naivasha,High,267978,Bills,USSD,8784,Motor
14,28,High,Mass,Public librarian,Nairobi,Low,123462,Groceries,USSD,3823,Life
15,41,Medium,SME,Exercise physiologist,Kisumu,High,181330,School Fees,Internet Banking,665,Education
16,70,Medium,SME,Manufacturing systems engineer,Eldoret,Low,172984,School Fees,App,4774,Education
17,53,Low,SME,Animal technologist,Naivasha,High,152710,School Fees,USSD,10368,Education
18,57,Medium,Affluent,Database administrator,Eldoret,Low,282116,Electronics,USSD,8529,Gadget
19,41,Low,SME,Network engineer,Meru,High,264236,Groceries,App,10354,Motor
20,20,High,SME,Educational psychologist,Naivasha,Medium,178301,Groceries,Internet Banking,10908,Life
21,39,High,Mass,Pensions consultant,Nairobi,Medium,140133,School Fees,Branch,8910,Education
22,70,Low,SME,Tourist information centre manager,Thika,Low,44515,School Fees,USSD,12827,Education
23,19,Low,Affluent,Print production planner,Mombasa,Low,176271,Electronics,USSD,9695,Gadget
24,41,Low,SME,Psychotherapist,Thika,High,275025,Electronics,Internet Banking,5038,Gadget
25,61,Medium,Mass,"Horticulturist, amenity",Kisumu,Medium,230888,Bills,Internet Banking,9933,Medical
26,47,High,SME,Barrister's clerk,Mombasa,Low,208764,Travel,App,9669,Travel
27,55,High,SME,Medical physicist,Kisumu,High,198427,School Fees,App,661,Education
28,19,Medium,Mass,"Presenter, broadcasting",Nyeri,Medium,136371,Electronics,Branch,8597,Gadget
29,77,Low,SME,Dispensing optician,Nakuru,Medium,55030,Travel,USSD,1020,Travel
30,38,High,Mass,Software engineer,Nairobi,High,178634,Groceries,Internet Banking,4966,Life
31,50,Medium,Mass,Pathologist,Nakuru,High,263681,Electronics,Internet Banking,1290,Gadget
32,29,Low,Affluent,Contracting civil engineer,Thika,High,224024,School Fees,USSD,12950,Education
33,75,High,Affluent,Land/geomatics surveyor,Eldoret,Low,195805,Bills,App,10647,Medical
34,39,Low,Mass,Catering manager,Eldoret,Medium,260686,Bills,Internet Banking,13205,Gadget
35,78,Medium,Affluent,Radiation protection practitioner,Meru,Low,123665,Travel,Internet Banking,9632,Travel
36,61,High,Affluent,Clinical molecular geneticist,Meru,High,157150,School Fees,USSD,5770,Education
37,42,Low,Mass,Corporate treasurer,Meru,Low,157097,Bills,App,11194,Life
38,66,Low,SME,Market researcher,Naivasha,High,256017,School Fees,App,6015,Education
39,44,Low,SME,Industrial buyer,Nyeri,Low,176560,School Fees,App,12789,Education
40,76,Medium,SME,Professor Emeritus,Meru,Low,199006,Groceries,Branch,8474,Medical
41,59,Low,Affluent,Immigration officer,Machakos,High,114746,Bills,Internet Banking,11938,Medical
42,45,High,Affluent,"Therapist, horticultural",Machakos,Low,260046,School Fees,USSD,13748,Education
43,77,High,SME,Product designer,Eldoret,High,52825,Travel,USSD,4628,Travel
44,33,Low,Mass,Corporate investment banker,Meru,Medium,16076,Electronics,USSD,6343,Gadget
45,32,Medium,Mass,Building services engineer,Machakos,Medium,51758,Travel,USSD,6601,Travel
46,79,High,Mass,Computer games developer,Naivasha,Medium,185858,Groceries,Branch,8214,Medical
47,79,High,Affluent,Estate agent,Machakos,Medium,111479,Bills,USSD,9614,Medical
48,64,High,SME,Volunteer coordinator,Meru,Medium,11180,Bills,App,2978,Medical
49,79,Low,Mass,"Biochemist, clinical",Naivasha,Low,289592,Electronics,USSD,3198,Gadget
50,68,High,SME,Museum education officer,Meru,Medium,80232,Bills,App,14331,Medical
51,61,Low,SME,Health service manager,Machakos,Medium,212680,Travel,Branch,2283,Travel
52,72,Low,Affluent,Airline pilot,Mombasa,Low,288525,Groceries,Branch,6646,Medical
53,69,Low,Mass,Mining engineer,Kisumu,Medium,65454,Bills,Internet Banking,8864,Medical
54,74,Low,Affluent,Product/process development scientist,Thika,Medium,41882,Electronics,App,14776,Gadget
55,20,Low,SME,Radiation protection practitioner,Thika,Low,235395,Electronics,Branch,3230,Gadget
56,54,High,SME,"Engineer, maintenance",Naivasha,Low,259005,School Fees,Internet Banking,11054,Education
57,68,Low,SME,"Civil engineer, contracting",Mombasa,High,46682,Electronics,USSD,3955,Gadget
58,24,Low,Mass,Radio broadcast assistant,Nairobi,High,3304,Groceries,App,6026,Motor
59,38,Low,Mass,Geochemist,Eldoret,High,247271,Travel,Internet Banking,1471,Travel
60,26,Low,Mass,Multimedia programmer,Mombasa,Low,227095,School Fees,USSD,9471,Education
61,56,Low,SME,"Surveyor, insurance",Meru,High,227119,Bills,USSD,6666,Medical
62,35,Low,SME,Further education lecturer,Kisumu,Low,149609,Bills,USSD,12608,Medical
63,21,High,Mass,"Accountant, chartered certified",Mombasa,Medium,153921,Travel,Branch,2803,Travel
64,42,Low,SME,"Optician, dispensing",Naivasha,High,3918,School Fees,USSD,5382,Education
65,77,Low,SME,Immunologist,Thika,Medium,123401,Groceries,Branch,2364,Medical
66,31,High,SME,"Engineer, building services",Machakos,Low,100181,Groceries,Internet Banking,5527,Life
67,67,High,Mass,Chief Executive Officer,Meru,Low,160406,Groceries,App,14833,Medical
68,75,Medium,Affluent,"Editor, film/video",Kisumu,Low,13419,Travel,Internet Banking,2658,Travel
69,26,High,Affluent,Armed forces logistics/support/administrative officer,Machakos,Medium,171497,Travel,Internet Banking,3120,Travel
70,43,High,Affluent,Musician,Nakuru,Medium,244916,Groceries,USSD,10095,Life
71,70,Low,Mass,Network engineer,Mombasa,Medium,13519,Bills,App,6833,Medical
72,19,Medium,SME,"Teacher, early years/pre",Nakuru,High,30917,Travel,Internet Banking,4569,Travel
73,37,Low,Affluent,Heritage manager,Nakuru,Low,31158,Bills,Branch,4400,Gadget
74,45,Medium,Affluent,Camera operator,Machakos,Medium,73470,School Fees,USSD,1541,Education
75,64,Low,Mass,Senior tax professional/tax inspector,Nyeri,High,270901,Groceries,Internet Banking,11204,Medical
76,77,High,SME,Building control surveyor,Machakos,Medium,136232,Groceries,App,7470,Medical
77,24,High,SME,Medical laboratory scientific officer,Naivasha,Low,121053,Travel,App,8996,Travel
78,61,Medium,Mass,Health physicist,Nakuru,High,14185,Travel,Branch,3123,Travel
79,78,Low,Affluent,Psychiatrist,Mombasa,High,241975,Travel,App,2274,Travel
80,25,Low,SME,Arts administrator,Nairobi,High,82365,Groceries,USSD,10074,Motor
81,64,High,SME,Environmental education officer,Mombasa,High,125652,School Fees,USSD,4711,Education
82,52,High,Affluent,"Nurse, adult",Mombasa,High,255530,Bills,App,4359,Life
83,31,Medium,Mass,Publishing copy,Kisumu,High,54027,Bills,Internet Banking,10476,Motor
84,34,High,Affluent,Surgeon,Nyeri,Low,235879,Travel,Internet Banking,8433,Travel
85,53,Medium,SME,"Therapist, horticultural",Eldoret,Low,27681,Groceries,Internet Banking,14538,Gadget
86,67,Medium,Mass,Health visitor,Nairobi,High,20499,Groceries,Branch,2137,Medical
87,57,Medium,Affluent,"Programmer, systems",Eldoret,Low,119537,School Fees,App,4793,Education
88,21,Medium,Affluent,"Accountant, chartered public finance",Naivasha,Low,44133,Groceries,Internet Banking,13083,Life
89,19,High,Mass,"Education officer, museum",Nairobi,Medium,58018,Electronics,Internet Banking,13193,Gadget
90,79,Medium,SME,Probation officer,Nakuru,Medium,16101,Groceries,Internet Banking,9060,Medical
