customer_id,age,income_band,customer_segment,occupation,city,kyc_risk_rating,amount,category,channel,premium_amount,product_type
1,56,High,SME,Community arts worker,Kisumu,High,64878,Groceries,Branch,11058,Medical
2,69,High,SME,"Education officer, environmental",Mombasa,High,86117,School Fees,USSD,11046,Life
3,46,Low,SME,Insurance underwriter,Nyeri,Low,270564,Travel,App,663,Travel
4,32,Medium,Affluent,Investment analyst,Naivasha,Low,26054,Travel,Internet Banking,10351,Travel
5,60,High,SME,Tax inspector,Nakuru,Low,270306,Electronics,App,5101,Gadget
6,25,Low,Affluent,Accounting technician,Kisumu,Low,166009,School Fees,Branch,5621,Education
7,78,Low,Affluent,Writer,Mombasa,High,124315,Groceries,App,8909,Medical
8,38,High,Affluent,Educational psychologist,Nyeri,Low,20665,Travel,Internet Banking,731,Travel
9,56,Medium,Affluent,Maintenance engineer,Nyeri,Low,200961,School Fees,Branch,13732,Education
10,75,Low,SME,Multimedia specialist,Nakuru,Low,213025,School Fees,USSD,5039,Education
11,36,High,SME,Tax adviser,Meru,Medium,189756,Travel,Internet Banking,13130,Travel
12,40,Low,Mass,"Editor, magazine features",Nyeri,High,116678,Bills,Branch,6045,Education
13,28,Medium,SME,Geoscientist,Naivasha,High,267978,Bills,USSD,8784,Motor
14,28,High,Mass,"Conservator, museum/gallery",Nairobi,Low,123462,Groceries,USSD,3823,Life
15,41,Medium,SME,Haematologist,Kisumu,High,181330,School Fees,Internet Banking,665,Education
16,70,Medium,SME,"Therapist, art",Eldoret,Low,172984,School Fees,App,4774,Education
17,53,Low,SME,Learning mentor,Naivasha,High,152710,School Fees,USSD,10368,Education
18,57,Medium,Affluent,"Psychologist, forensic",Eldoret,Low,282116,Electronics,USSD,8529,Gadget
19,41,Low,SME,"Development worker, community",Meru,High,264236,Groceries,App,10354,Motor
20,20,High,SME,"Clinical scientist, histocompatibility and immunogenetics",Naivasha,Medium,178301,Groceries,Internet Banking,10908,Life
21,39,High,Mass,Sports coach,Nairobi,Medium,140133,School Fees,Branch,8910,Education
22,70,Low,SME,Osteopath,Thika,Low,44515,School Fees,USSD,12827,Education
23,19,Low,Affluent,"Engineer, building services",Mombasa,Low,176271,Electronics,USSD,9695,Gadget
24,41,Low,SME,Customer service manager,Thika,High,275025,Electronics,Internet Banking,5038,Gadget
25,61,Medium,Mass,Homeopath,Kisumu,Medium,230888,Bills,Internet Banking,9933,Medical
26,47,High,SME,Industrial buyer,Mombasa,Low,208764,Travel,App,9669,Travel
27,55,High,SME,Contracting civil engineer,Kisumu,High,198427,School Fees,App,661,Education
28,19,Medium,Mass,Tourist information centre manager,Nyeri,Medium,136371,Electronics,Branch,8597,Gadget
29,77,Low,SME,Race relations officer,Nakuru,Medium,55030,Travel,USSD,1020,Travel
30,38,High,Mass,Maintenance engineer,Nairobi,High,178634,Groceries,Internet Banking,4966,Education
31,50,Medium,Mass,"Engineer, agricultural",Nakuru,High,263681,Electronics,Internet Banking,1290,Gadget
32,29,Low,Affluent,Television camera operator,Thika,High,224024,School Fees,USSD,12950,Education
33,75,High,Affluent,"Scientist, research (life sciences)",Eldoret,Low,195805,Bills,App,10647,Medical
34,39,Low,Mass,"Engineer, land",Eldoret,Medium,260686,Bills,Internet Banking,13205,Education
35,78,Medium,Affluent,Legal executive,Meru,Low,123665,Travel,Internet Banking,9632,Education
36,61,High,Affluent,Fish farm manager,Meru,High,157150,School Fees,USSD,5770,Education
37,42,Low,Mass,"Psychologist, counselling",Meru,Low,157097,Bills,App,11194,Motor
38,66,Low,SME,Architect,Naivasha,High,256017,School Fees,App,6015,Education
39,44,Low,SME,Dealer,Nyeri,Low,176560,School Fees,App,12789,Education
40,76,Medium,SME,Holiday representative,Meru,Low,199006,Groceries,Branch,8474,Medical
41,59,Low,Affluent,Civil Service fast streamer,Machakos,High,114746,Bills,Internet Banking,11938,Medical
42,45,High,Affluent,Contracting civil engineer,Machakos,Low,260046,School Fees,USSD,13748,Education
43,77,High,SME,Dramatherapist,Eldoret,High,52825,Travel,USSD,4628,Medical
44,33,Low,Mass,"Runner, broadcasting/film/video",Meru,Medium,16076,Electronics,USSD,6343,Gadget
45,32,Medium,Mass,"Journalist, newspaper",Machakos,Medium,51758,Travel,USSD,6601,Life
46,79,High,Mass,Veterinary surgeon,Naivasha,Medium,185858,Groceries,Branch,8214,Medical
47,79,High,Affluent,Youth worker,Machakos,Medium,111479,Bills,USSD,9614,Medical
48,64,High,SME,Astronomer,Meru,Medium,11180,Bills,App,2978,Medical
49,79,Low,Mass,Chief Strategy Officer,Naivasha,Low,289592,Electronics,USSD,3198,Gadget
50,68,High,SME,Industrial buyer,Meru,Medium,80232,Bills,App,14331,Medical
51,61,Low,SME,Translator,Machakos,Medium,212680,Travel,Branch,2283,Travel
52,72,Low,Affluent,Pension scheme manager,Mombasa,Low,288525,Groceries,Branch,6646,Medical
53,69,Low,Mass,Illustrator,Kisumu,Medium,65454,Bills,Internet Banking,8864,Medical
54,74,Low,Affluent,"Producer, television/film/video",Thika,Medium,41882,Electronics,App,14776,Gadget
55,20,Low,SME,General practice doctor,Thika,Low,235395,Electronics,Branch,3230,Education
56,54,High,SME,Midwife,Naivasha,Low,259005,School Fees,Internet Banking,11054,Motor
