transaction_id,customer_id,transaction_date,amount,category,channel,balance_after
100000,5629,2025-11-22,,,USSD,
100001,442,2025-10-03,,Groceries,Internet Banking,704463.0
100002,1438,2025-06-30,,,App,
100003,3188,2025-06-28,,Groceries,USSD,400125.0
100004,4999,2024-08-02,33646,Electronics,,
100005,6597,2025-11-06,,,USSD,327352.0
100006,2368,2025-12-19,,,App,
100007,4866,2025-11-14,224854,,Branch,713435.0
100008,883,2025-07-09,104896,Electronics,Branch,17745.0
100009,451,2024-07-02,,Groceries,USSD,
100010,5199,2024-09-12,,,,
100011,743,2026-02-11,286955,,Internet Banking,
100012,6501,2025-11-14,,,Branch,
100013,5706,2024-12-19,,Bills,Internet Banking,583856.0
100014,1545,2025-05-21,199175,Bills,,316908.0
100015,3351,2025-10-09,,Groceries,Branch,342905.0
100016,2830,2025-10-27,,,,
100017,2614,2025-08-24,,,App,155887.0
100018,1916,2025-01-04,282421,School Fees,Internet Banking,
100019,1249,2024-06-04,,School Fees,App,
100020,528,2024-12-20,,Electronics,,
100021,4820,2024-10-17,118689,,,
100022,241,2024-10-15,,Groceries,USSD,593468.0
100023,6758,2025-01-15,,School Fees,USSD,649048.0
100024,2143,2025-09-28,,Bills,Branch,563211.0
100025,365,2024-05-15,86929,Travel,App,56178.0
100026,1209,2026-02-19,,Travel,App,182354.0
100027,5256,2026-02-21,134371,,,
100028,4121,2025-09-29,,Groceries,USSD,
100029,6057,2024-11-30,,Electronics,Internet Banking,196373.0
100030,2366,2026-03-04,231472,Travel,,75316.0
100031,6477,2025-02-23,,Bills,App,256171.0
100032,2962,2025-06-14,,Bills,App,241929.0
100033,4658,2024-08-28,5529,Bills,,396295.0
100034,4777,2024-10-10,,Travel,,83653.0
100035,2148,2024-12-05,,School Fees,,40070.0
100036,2418,2025-12-25,,,App,711486.0
100037,1617,2026-03-08,65341,Bills,Internet Banking,
100038,1036,2025-01-01,,Electronics,App,
100039,720,2024-04-26,,Groceries,,670095.0
100040,6221,2025-02-04,169115,Groceries,USSD,230755.0
100041,4683,2025-08-08,,Groceries,Internet Banking,
100042,974,2025-02-23,,School Fees,Branch,697204.0
100043,6826,2024-11-09,,Groceries,App,
100044,1847,2026-03-09,,Groceries,Internet Banking,15744.0
100045,1372,2024-03-19,,Travel,Internet Banking,
100046,1467,2025-08-20,,School Fees,,654094.0
100047,691,2024-03-21,,School Fees,Internet Banking,
100048,88,2025-08-05,135897,Travel,App,
100049,2513,2025-07-22,,Electronics,USSD,716380.0
100050,3849,2025-07-22,,,Internet Banking,
100051,494,2025-05-23,7955,Groceries,App,644546.0
100052,1246,2024-12-23,205863,Electronics,,
100053,6117,2024-07-12,71918,Travel,Internet Banking,210771.0
100054,1142,2024-08-28,,Travel,Branch,180697.0
100055,4232,2024-07-19,226177,Travel,Branch,
100056,978,2025-10-20,,Travel,USSD,482029.0
100057,2235,2025-02-12,,,,
100058,542,2025-04-30,,Bills,App,153799.0
100059,6723,2024-05-29,,Travel,Internet Banking,691023.0
100060,5026,2025-07-16,,Electronics,App,504189.0
100061,1403,2024-12-09,128091,Travel,Branch,213696.0
100062,811,2024-05-01,67550,Electronics,,615300.0
100063,4508,2025-06-19,32728,Travel,App,
100064,3493,2024-04-14,,Travel,Internet Banking,602444.0
100065,4313,2025-01-18,,Bills,,124657.0
100066,6814,2025-09-05,,,Internet Banking,
100067,4926,2024-09-05,106375,Travel,Internet Banking,473896.0
100068,1134,2025-12-03,,Groceries,,
100069,4381,2024-07-25,,Bills,,734615.0
100070,4866,2025-06-29,,Bills,Internet Banking,461597.0
100071,5993,2024-07-20,,Groceries,Branch,
100072,569,2025-06-11,,,Internet Banking,641744.0
100073,3001,2025-05-09,159446,,,280824.0
100074,1322,2024-04-06,109896,,USSD,
100075,6705,2025-03-18,,Bills,App,716260.0
100076,2745,2026-02-26,201074,Travel,Internet Banking,324373.0
100077,6855,2025-03-13,,Groceries,App,195901.0
100078,4626,2025-07-04,,,Internet Banking,
100079,3579,2024-12-26,,Travel,Internet Banking,
100080,6633,2025-08-31,,Bills,USSD,402141.0
100081,1768,2025-01-04,,School Fees,,620686.0
100082,2075,2024-03-30,,Groceries,Branch,519334.0
100083,2044,2025-06-10,,Electronics,,
100084,1142,2024-09-08,,Bills,App,
100085,1078,2025-02-25,,,App,335703.0
100086,4600,2025-07-02,,,Internet Banking,490539.0
100087,6121,2025-02-09,,School Fees,,488976.0
100088,152,2024-09-02,182169,Bills,USSD,
100089,4833,2025-11-10,293428,Travel,Branch,296624.0
100090,479,2024-04-30,,,,346182.0
100091,3234,2025-09-21,206244,,Internet Banking,
100092,1686,2025-05-25,287693,Travel,App,
100093,5336,2025-10-10,30139,,,756329.0
100094,6975,2025-12-27,,Travel,App,
100095,3492,2025-09-29,,School Fees,Internet Banking,
100096,1372,2024-05-17,,Travel,App,423219.0
100097,5460,2025-12-06,,Bills,Internet Banking,423508.0
100098,3901,2025-06-17,,Bills,Branch,
100099,4946,2024-04-28,,,USSD,
100100,2602,2025-06-18,,Bills,App,761168.0
100101,3424,2024-11-01,97844,Groceries,,91494.0
100102,1697,2024-07-22,,Bills,Branch,
100103,3658,2024-04-10,195795,Travel,USSD,
100104,3977,2024-10-17,77591,,,
100105,1399,2024-10-10,297220,,,580876.0
100106,5657,2025-11-15,229495,Groceries,Internet Banking,364825.0
100107,3981,2024-12-14,,Groceries,USSD,
100108,5423,2025-02-07,,Groceries,,
